元素,組み合わせ,第一元素名,第二元素名,画像ファイル名,ポジティブ解釈,ネガティブ解釈
空（アカシャ）,空の空,akasha,akasha,akasha_akasha.png,無限の可能性と純粋な意識。霊感。すべての始まりと創造の源。深い洞察と精神的な目覚め。,混沌と不確実性。方向性の喪失と現実からの遊離。精神的な混乱。物質主義。
空（アカシャ）,空の風,akasha,vayu,akasha_vayu.png,新しいアイデアと創造的なインスピレーション。精神的な自由と解放。直感的な理解。,不安定な思考と優柔不断。現実的な基盤の欠如。散漫な精神状態。現実感の喪失。
空（アカシャ）,空の火,akasha,tejas,akasha_tejas.png,精神的な情熱と創造的なエネルギー。霊的な浄化と変容。意識の拡大。,破壊的な思考パターン。現実との乖離。過度の理想主義。傲慢。
空（アカシャ）,空の水,akasha,apas,akasha_apas.png,深い直感と精神的な癒し。感情の浄化と理解。スピリチュアルな流れとの調和。,感情的な混乱と不安定さ。現実逃避。過度の感受性。依存。
空（アカシャ）,空の地,akasha,prithivi,akasha_prithivi.png,理想の具現化と実現。精神的な基盤の確立。現実世界での創造的表現。,非現実的な目標設定。理想と現実のギャップ。実行力の不足。
風（ヴァーユ）,風の空,vayu,akasha,vayu_akasha.png,新鮮な視点と自由な思考。精神的な柔軟性。創造的なコミュニケーション。,不安定な思考と混乱。焦点の欠如。過度の抽象化。
風（ヴァーユ）,風の風,vayu,vayu,vayu_vayu.png,迅速な変化と移動。自由な表現と流動性。新しい始まりへの準備。,不安定さと方向性の喪失。優柔不断。落ち着きのなさ。
風（ヴァーユ）,風の火,vayu,tejas,vayu_tejas.png,情熱的な行動と迅速な変化。創造的なエネルギーの解放。強い意志の力。,攻撃的な性急さ。制御不能な変化。破壊的な衝動。
風（ヴァーユ）,風の水,vayu,apas,vayu_apas.png,感情的な柔軟性と適応力。直感的な理解と共感。創造的な表現。,感情の不安定さ。優柔不断。方向性の欠如。
風（ヴァーユ）,風の地,vayu,prithivi,vayu_prithivi.png,実践的な創造性と具体的な行動。計画の実行と現実化。建設的な変化。,不安定な基盤。計画性の欠如。持続性の不足。
火（テジャス）,火の空,tejas,akasha,tejas_akasha.png,精神的な変容と浄化。創造的なインスピレーション。強い意志の力。情熱が理想を実現する。,破壊的な思考パターン。過度の理想主義。現実との乖離。
火（テジャス）,火の風,tejas,vayu,tejas_vayu.png,急速な変化と情熱的な行動。創造的なエネルギーの解放。強い意志の力。,衝動的な行動。制御不能な変化。攻撃性。イジメ。
火（テジャス）,火の火,tejas,tejas,tejas_tejas.png,強い意志と変容の力。情熱的なエネルギー。創造的な力と浄化。,攻撃性と破壊性。制御不能なエネルギー。過度の野心。
火（テジャス）,火の水,tejas,apas,tejas_apas.png,感情の浄化と変容。創造的な感情表現。情熱と直感の調和。,感情的な衝突。不安定な関係性。破壊的な感情。
火（テジャス）,火の地,tejas,prithivi,tejas_prithivi.png,強い意志による実現力。具体的な目標達成。創造的な実践。千里の道も一歩から。,破壊的な行動。過度の野心。バランスの欠如。攻撃性。暴力。
水（アパス）,水の空,apas,akasha,apas_akasha.png,深い直感と精神的な理解。感情の浄化と癒し。スピリチュアルな流れ。,感情的な混乱。現実逃避。過度の感受性。感情と現実の乖離。
水（アパス）,水の風,apas,vayu,apas_vayu.png,感情的な自由と表現。適応力と柔軟性。創造的な流れ。,感情の不安定さ。優柔不断。方向性の欠如。情緒不安定。
水（アパス）,水の火,apas,tejas,apas_tejas.png,感情の変容と浄化。情熱的な表現。創造的なエネルギー。,感情的な衝突。不安定な関係性。破壊的な感情。
水（アパス）,水の水,apas,apas,apas_apas.png,深い感情的な理解と癒し。直感的な知恵。調和と流れ。,感情的な溺れ。現実逃避。過度の感受性。
水（アパス）,水の地,apas,prithivi,apas_prithivi.png,感情的な安定と具現化。実践的な直感。物質的な豊かさ。,感情的な停滞。実行力の不足。物質への執着。
地（プリティヴィ）,地の空,prithivi,akasha,prithivi_akasha.png,精神的な基盤の確立。理想の具現化。現実的な創造性。,非現実的な目標。理想と現実のギャップ。実行力の不足。
地（プリティヴィ）,地の風,prithivi,vayu,prithivi_vayu.png,実践的な変化と適応。具体的な行動計画。建設的な革新。,不安定な基盤。計画性の欠如。持続性の不足。
地（プリティヴィ）,地の火,prithivi,tejas,prithivi_tejas.png,強い意志による実現。具体的な目標達成。創造的な実践。,破壊的な行動。過度の野心。バランスの欠如。
地（プリティヴィ）,地の水,prithivi,apas,prithivi_apas.png,物質的な豊かさと感情的な安定。実践的な直感。具体的な成果。,物質への執着。感情的な停滞。実行力の不足。
地（プリティヴィ）,地の地,prithivi,prithivi,prithivi_prithivi.png,強固な基盤と安定性。物質的な実現と成功。具体的な成果。,硬直性と停滞。変化への抵抗。物質への執着。
